"SNP" "perm_var" "beta" "maf" "true_var" "perm_bias"
"132" "SNP1" 0.0103251577154122 0.0822617548982883 0.05 0.00962368421052632 0.000701473504885884
"133" "SNP1" 0.0102243114593906 0.0112924844462165 0.05 0.00962368421052632 0.000600627248864284
"134" "SNP1" 0.0091242135054986 0.0369120005759162 0.05 0.00962368421052632 -0.000499470705027715
"135" "SNP1" 0.00978608119589786 -0.0371314598845355 0.05 0.00962368421052632 0.000162396985371545
"136" "SNP1" 0.0097085976068205 -0.012112962597861 0.05 0.00962368421052632 8.49133962941839e-05
"137" "SNP1" 0.0100226726433643 -0.0255138417582673 0.05 0.00962368421052632 0.000398988432837984
"138" "SNP1" 0.00953515957150379 -0.0161977918937173 0.05 0.00962368421052632 -8.85246390225254e-05
"139" "SNP1" 0.0103070655446408 0.000445807287351338 0.05 0.00962368421052632 0.000683381334114485
"140" "SNP1" 0.0112446081514899 0.0149948209236118 0.05 0.00962368421052632 0.00162092394096358
"141" "SNP1" 0.011468620183916 0.0343005189404362 0.05 0.00962368421052632 0.00184493597338968
"142" "SNP1" 0.00935532534055245 -0.144447436717926 0.05 0.00962368421052632 -0.000268358869973865
"143" "SNP1" 0.0111882972946511 0.0414791378930214 0.05 0.00962368421052632 0.00156461308412478
"144" "SNP1" 0.0106418053868742 -0.0358514358899764 0.05 0.00962368421052632 0.00101812117634788
"145" "SNP1" 0.0106655818905694 0.04322394058771 0.05 0.00962368421052632 0.00104189768004308
"146" "SNP1" 0.0101694133222951 -0.000687655170078514 0.05 0.00962368421052632 0.000545729111768785
"147" "SNP1" 0.00896533866484402 -0.0904558585841664 0.05 0.00962368421052632 -0.000658345545682296
"148" "SNP1" 0.00960971749913347 0.014169043108665 0.05 0.00962368421052632 -1.39667113928463e-05
"149" "SNP1" 0.0108000330049747 0.0721200388086235 0.05 0.00962368421052632 0.00117634879444838
"150" "SNP1" 0.0112735975673144 0.0531759093641375 0.05 0.00962368421052632 0.00164991335678808
"151" "SNP1" 0.00883477913484451 0.0182227068057142 0.05 0.00962368421052632 -0.000788905075681806
"152" "SNP1" 0.0100922393205912 -0.173470138549581 0.05 0.00962368421052632 0.000468555110064885
"153" "SNP1" 0.00945822727032712 0.0124759691079068 0.05 0.00962368421052632 -0.000165456940199196
"154" "SNP1" 0.00865786453696668 0.0496056285102205 0.05 0.00962368421052632 -0.000965819673559635
"155" "SNP1" 0.0106574127987001 0.083006410090176 0.05 0.00962368421052632 0.00103372858817379
"156" "SNP1" 0.00983263316729457 0.134109852151397 0.05 0.00962368421052632 0.000208948956768254
"157" "SNP1" 0.0106176093644506 0.198372336251857 0.05 0.00962368421052632 0.000993925153924284
"158" "SNP1" 0.00922899577512765 0.142481972399938 0.05 0.00962368421052632 -0.000394688435398666
"159" "SNP1" 0.0104260908059791 0.0788154719068117 0.05 0.00962368421052632 0.000802406595452785
"160" "SNP1" 0.00958606747016729 0.0224512955014024 0.05 0.00962368421052632 -3.76167403590248e-05
"161" "SNP1" 0.00971223151702234 -0.0733076254223242 0.05 0.00962368421052632 8.85473064960243e-05
"162" "SNP1" 0.00975273513631377 -0.0117176601424322 0.05 0.00962368421052632 0.000129050925787454
